Accident_ID,State,Date,Time,Reason,Number_of_Deaths,Number_of_Injuries,Road_Type,Weather_Conditions,Alcohol_Involved,Driver_Fatigue,Road_Conditions,Speed_Limit
1001,Andhra Pradesh,2021-05-01,15:30:00,Speeding,2,3,Rural,Sunny,No,No,Poor,60
1002,Karnataka,2021-05-02,18:45:00,Drunk Driving,1,4,Urban,Rainy,Yes,No,Good,40
1003,Delhi,2021-05-03,10:15:00,Poor Road Conditions,0,2,Urban,Foggy,No,No,Poor,50
1004,Maharashtra,2021-05-04,06:00:00,Driver Fatigue,3,6,Rural,Sunny,No,Yes,Good,70
1005,Uttar Pradesh,2021-05-05,21:20:00,Speeding,1,2,Rural,Sunny,No,No,Fair,80
1006,Tamil Nadu,2021-05-06,12:00:00,Drunk Driving,0,1,Urban,Sunny,Yes,No,Good,30
1007,Rajasthan,2021-05-07,14:30:00,Poor Road Conditions,2,5,Rural,Rainy,No,No,Poor,60
1008,West Bengal,2021-05-08,08:00:00,Driver Fatigue,1,3,Urban,Sunny,No,Yes,Fair,50
1009,Gujarat,2021-05-09,17:30:00,Speeding,0,4,Rural,Sunny,No,No,Good,60
1010,Assam,2021-05-10,11:45:00,Poor Road Conditions,1,2,Urban,Foggy,No,No,Poor,40
1011,Bihar,2021-05-11,19:00:00,Driver Fatigue,3,6,Rural,Sunny,No,Yes,Fair,70
1012,Punjab,2021-05-12,06:15:00,Drunk Driving,2,4,Urban,Sunny,Yes,No,Good,30
1013,Haryana,2021-05-13,13:20:00,Speeding,1,3,Rural,Sunny,No,No,Fair,80
1014,Odisha,2021-05-14,16:00:00,Driver Fatigue,0,1,Urban,Rainy,No,Yes,Poor,50
1015,Madhya Pradesh,2021-05-15,09:30:00,Poor Road Conditions,2,5,Rural,Rainy,No,No,Poor,60
1016,Jharkhand,2021-05-16,14:15:00,Drunk Driving,1,2,Urban,Foggy,Yes,No,Good,40
1017,Chhattisgarh,2021-05-17,07:45:00,Driver Fatigue,3,6,Rural,Sunny,No,Yes,Fair,70
1018,Manipur,2021-05-18,19:30:00,Speeding,0,4,Rural,Sunny,No,No,Good,60
1019,Delhi,2021-06-12,08:15:00,Poor road conditions,1,5,Urban,Rainy,No,Yes,Poor,40
1020,Karnataka,2021-08-02,20:10:00,Drunk driving,3,2,Rural,Sunny,Yes,No,Good,80
1021,Maharashtra,2021-09-05,12:45:00,Driver fatigue,1,2,Urban,Sunny,No,Yes,Fair,50
